"year","fips_state","state_code","population","fte","expenditures","expenditures_infl","fte_per_100000","expenditures_per_capita","expenditures_infl_per_capita"
2010,"02","AK",713910,508,85474200,104021945.202759,71.1574288075528,119.726856326428,145.707365358041
2011,"02","AK",722128,,87724840,103407588.230696,,121.4810116766,143.198419436299
2012,"02","AK",730443,441,,,60.3743207888911,,
2014,"02","AK",736283,,107674100,117424851.239529,,146.240100613487,159.483311769426
2015,"02","AK",737498,,108784200,118599555.725465,,147.504400011932,160.813393020002
2016,"02","AK",741456,469,109413300,119085959.147505,63.2539220129043,147.565465786237,160.610958907211
2017,"02","AK",739700,,102649000,108767477.425941,,138.771123428417,147.042689503773
2018,"02","AK",735139,,104178100,106432157.425602,,141.71211158706,144.778276524034
2019,"02","AK",731545,426,,,58.2329180023102,,
2010,"01","AL",4785437,4300,552647855,672571429.615397,89.8559525493701,115.485347524166,140.545456896705
2011,"01","AL",4799069,,563582818,664335665.675073,,117.435864747933,138.430113356377
2012,"01","AL",4815588,4129,,,85.7423849382464,,
2014,"01","AL",4841799,,488242841,532457136.611217,,100.839138716828,109.970929526653
2015,"01","AL",4852347,,472893914,515562077.081749,,97.456738769919,106.250042934223
2016,"01","AL",4863525,2576,470918100,512549512.887562,52.9656987473078,96.8264992983484,105.386425049231
2017,"01","AL",4874486,,465913281,493684422.387102,,95.5820328543358,101.279277935582
2018,"01","AL",4887681,,482896377,493344601.380875,,98.7986689393191,100.936333893492
2019,"01","AL",4903185,2613.5,,,53.3020883364589,,
2010,"05","AR",2921964,2809,342159340,416407291.511266,96.1339701652724,117.099094992272,142.509384616397
2011,"05","AR",2940667,,362005147,426721544.073134,,123.10307389446,145.110461018923
2012,"05","AR",2952164,2636,,,89.2904323743532,,
2014,"05","AR",2967392,,373726120,407570010.293341,,125.944303954449,137.349568339249
2015,"05","AR",2978048,,372463274,406069804.44267,,125.069600624302,136.354351723904
2016,"05","AR",2989918,2275,341753255,371965877.671699,76.0890432446642,114.301882192087,124.406715392094
2017,"05","AR",3001345,,297111044,314820590.27626,,98.992632969552,104.893169654358
2018,"05","AR",3009733,,298712969,305176094.991913,,99.2489928508609,101.396401272775
2019,"05","AR",3017804,1948,,,64.5502491215467,,
2010,"04","AZ",6407172,1690,406885400,495178788.249585,26.3766916199534,63.5046788192981,77.2850780733817
2011,"04","AZ",6472643,,378542600,446215431.211697,,58.4834664912,68.9386748522507
2012,"04","AZ",6554978,1647,,,25.1259424516757,,
2014,"04","AZ",6730413,,293116400,319660435.200909,,43.5510272549396,47.494921218194
