"year","state_code","level","population","category_code","category_name","expenditures","expenditures_infl","expenditures_per_capita","expenditures_infl_per_capita","expenditures_pct"
2017,"AK","State and local",739700,"E001","Total expenditures",14930662000,15820616294.7458,20184.7532783561,21387.8819720775,1
2017,"AK","State",739700,"E001","Total expenditures",11296272000,11969595512.4482,15271.4235500879,16181.6892151523,1
2017,"AK","Local",739700,"E001","Total expenditures",5464254000,5789955319.53169,7387.12180613762,7827.43723067688,1
2017,"AL","State and local",4874486,"E001","Total expenditures",48700302000,51603123249.3401,9990.85893363936,10586.3722348039,1
2017,"AL","State",4874486,"E001","Total expenditures",32500189000,34437389291.628,6667.40842008778,7064.82474082969,1
2017,"AL","Local",4874486,"E001","Total expenditures",23167484000,24548400792.8558,4752.80552657244,5036.10037916937,1
2017,"AR","State and local",3001345,"E001","Total expenditures",27714169000,29366094663.2331,9233.91646078675,9784.31158804906,1
2017,"AR","State",3001345,"E001","Total expenditures",22699462000,24052481959.5516,7563.09654504897,8013.90108752961,1
2017,"AR","Local",3001345,"E001","Total expenditures",10460768000,11084290614.5993,3485.3600635715,3693.10779487174,1
2017,"AZ","State and local",7044008,"E001","Total expenditures",58536457000,62025570296.2725,8310.10654729523,8805.43723066079,1
2017,"AZ","State",7044008,"E001","Total expenditures",39529659000,41885856588.3511,5611.81347323853,5946.31019560896,1
2017,"AZ","Local",7044008,"E001","Total expenditures",29435571000,31190102234.4318,4178.80998999433,4427.89137014492,1
2017,"CA","State and local",39358497,"E001","Total expenditures",566781375000,600564841457.358,14400.4832044272,15258.835759337,1
2017,"CA","State",39358497,"E001","Total expenditures",349897906000,370753856269.803,8890.0220453032,9419.91906524793,1
2017,"CA","Local",39358497,"E001","Total expenditures",322767888000,342006731403.703,8200.71681090871,8689.5272297543,1
2017,"CO","State and local",5611885,"E001","Total expenditures",60835756000,64461920889.829,10840.5207875785,11486.6788770313,1
2017,"CO","State",5611885,"E001","Total expenditures",35172287000,37268759873.8538,6267.46396264357,6641.04126756942,1
2017,"CO","Local",5611885,"E001","Total expenditures",33157235000,35133599054.7314,5908.39530745908,6260.57003212493,1
2017,"CT","State and local",3573297,"E001","Total expenditures",40974389000,43416700899.1732,11466.8299332521,12150.3196905192,1
2017,"CT","State",3573297,"E001","Total expenditures",27853110000,29513317354.9402,7794.79287615891,8259.40786756325,1
2017,"CT","Local",3573297,"E001","Total expenditures",18682131000,19795694666.3969,5228.26146273316,5539.89625446664,1
2017,"DC","State and local",694906,"E001","Total expenditures",18555021000,19661008171.1012,26701.4833660956,28293.0470755774,1
2017,"DC","Local",694906,"E001","Total expenditures",18555021000,19661008171.1012,26701.4833660956,28293.0470755774,1
2017,"DE","State and local",956823,"E001","Total expenditures",12015427000,12731616333.1892,12557.6276908059,13306.1353387087,1
2017,"DE","State",956823,"E001","Total expenditures",9937802000,10530152799.3305,10386.2490763704,11005.3299297053,1
2017,"DE","Local",956823,"E001","Total expenditures",3683514000,3903072858.41204,3849.73396333491,4079.20049832837,1
2017,"FL","State and local",20963613,"E001","Total expenditures",177051803000,187605120225.474,8445.67217492519,8949.08335817275,1
2017,"FL","State",20963613,"E001","Total expenditures",90301871000,95684387724.3105,4307.552853604,4564.3080572185,1
2017,"FL","Local",20963613,"E001","Total expenditures",105283948000,111559483652.096,5022.22341158463,5321.57713711351,1
2017,"GA","State and local",10410330,"E001","Total expenditures",85130589000,90204867239.9592,8177.51108754478,8664.93831030901,1
2017,"GA","State",10410330,"E001","Total expenditures",49604549000,52561268629.8112,4764.93530944744,5048.95316765282,1
2017,"GA","Local",10410330,"E001","Total expenditures",47873137000,50726654404.3925,4598.61858365681,4872.72299767563,1
2017,"HI","State and local",1424393,"E001","Total expenditures",16783022000,17783387724.4208,11782.5782631619,12484.8884573435,1
2017,"HI","State",1424393,"E001","Total expenditures",12682493000,13438443346.5709,8903.78778890376,9434.50532723125,1
2017,"HI","Local",1424393,"E001","Total expenditures",4428167000,4692111508.25432,3108.80985795353,3294.11300691194,1
2017,"IA","State and local",3141550,"E001","Total expenditures",35147502000,37242497543.6996,11187.9492607153,11854.8161078766,1
2017,"IA","State",3141550,"E001","Total expenditures",22778289000,24136007507.2243,7250.65302159762,7682.83411285011,1
2017,"IA","Local",3141550,"E001","Total expenditures",17760165000,18818774130.4688,5653.31285511929,5990.28318201804,1
2017,"ID","State and local",1717715,"E001","Total expenditures",13177791000,13963263988.1175,7671.69815714481,8128.97598735382,1
2017,"ID","State",1717715,"E001","Total expenditures",9577579000,10148458413.4056,5575.7672256457,5908.11538200782,1
2017,"ID","Local",1717715,"E001","Total expenditures",6012311000,6370679704.33455,3500.17959906038,3708.81066086897,1
2017,"IL","State and local",12778828,"E001","Total expenditures",146852515000,155605779015.92,11491.8609906949,12176.8427445709,1
2017,"IL","State",12778828,"E001","Total expenditures",87665115000,92890465730.8403,6860.1842829405,7269.09116632921,1
2017,"IL","Local",12778828,"E001","Total expenditures",80460738000,85256665959.6251,6296.40981160401,6671.71245748242,1
2017,"IN","State and local",6658078,"E001","Total expenditures",58656093000,62152337297.698,8809.76356840518,9334.87671632834,1
2017,"IN","State",6658078,"E001","Total expenditures",40817154000,43250093778.6648,6130.47098577097,6495.88271249823,1
2017,"IN","Local",6658078,"E001","Total expenditures",27841233000,29500732416.6613,4181.57206929688,4430.81808543867,1
2017,"KS","State and local",2908718,"E001","Total expenditures",30553818000,32375003259.5672,10504.2214473868,11130.3341401838,1
2017,"KS","State",2908718,"E001","Total expenditures",19597921000,20766071076.8042,6737.64902613454,7139.25209552945,1
