"year","state_code","population","fte","expenditures","expenditures_infl","expenditures_infl_per_capita","fte_per_100000"
1991,"FL",13029114,7642,285604613,645792763.388927,49.5653628780074,58.6532591548435
1992,"FL",13323667,8153,314262782,687167273.482331,51.574936050438,61.1918625705671
1993,"FL",13551351,8172,325496551,694439254.727825,51.2450201258771,60.3039505064846
1994,"FL",13803101,8182,340802556,708823050.90573,51.352449779635,59.2765350336855
1995,"FL",14120555,8811,370639286,750858845.784882,53.1748819918822,62.3983972301372
1996,"FL",14405514,9540,413885339,819646212.023102,56.898088608508,66.2246414810329
1997,"FL",14701293,9450,435299682,843297522.533403,57.3621328772512,64.280060264087
1998,"FL",15011697,9863,452816280,860462959.778328,57.3194995727883,65.7020988366605
1999,"FL",15309968,9511,456186003,834149660.00565,54.4840890592097,62.1229254038937
2000,"FL",15679606,9390,492534330,859369172.945844,54.8080846512243,59.8867088879657
2001,"FL",16074896,9639,506456909,854555636.263499,53.1608811816574,59.9630629025531
2002,"FL",16384860,9877,553959559,914170145.549065,55.7935890541064,60.2812596506775
2003,"FL",16718033,10258,571600627,914021532.795614,54.672791517735,61.3588931185864
2004,"FL",17074368,10509,610944401,933913496.636708,54.6968120071389,61.5483981603301
2005,"FL",17476489,10683,642320596,929581335.104724,53.1903939689903,61.1278386637041
2006,"FL",17876663,10991,693702382,955820453.197125,53.4674985592739,61.4823918759334
2007,"FL",18237596,11370,740543117,968076130.346227,53.0813452796206,62.3437431117566
2008,"FL",18500958,11819,805378692,1002498864.09283,54.1863218160286,63.8831783737902
2009,"FL",18636837,11867,834241499,1044179467.0475,56.0277190301926,63.6749680216659
2010,"FL",18711844,12019,834848233,1016008773.94285,54.2976295624768,64.2320446878458
2011,"FL",18820280,12422,879263795,1036451573.57391,55.0709964768806,66.0032688142791
2012,"FL",18941742,11988,854730843,984752498.83716,51.9884865308143,63.2887936072617
2013,"FL",19118938,11194,777756063,867619085.490332,45.3800878213179,58.5492771617336
2014,"FL",19314396,10812,746306575,813890606.454636,42.1390659306476,55.9789702975956
2015,"FL",19579871,10350,754843307,822951134.930817,42.0304676640013,52.8604095501957
2016,"FL",19897762,9845,725648743,789799563.346836,39.6928842221973,49.477926210998
2017,"FL",20231092,9507,723328363,766442940.448961,37.8844078435787,46.9920259371071
2018,"FL",20555728,9488,734699251,750595627.515802,36.515156627671,46.1574506142521
2019,"FL",20957705,9477,738469745,738469745,35.2361933236487,45.2196459488288
2020,"FL",21268553,9125,713952208,700359834.038008,32.9293597941528,42.9037179915343
2009,"KY",4317074,,297296954.09,372112122.747013,86.1954469038551,
2010,"KY",4348181,,309390015.5,376527083.478076,86.5941605186344,
2011,"KY",4369821,,332708840.54,392187877.267974,89.7491858975399,
