"year","state_code","nacchoid","lhd_name","lhd_area_type","fips_county","county_name","fips_place","counties","fips_counties","population","fte","fte_per_100000","expenditures","expenditures_infl","expenditures_per_capita","expenditures_infl_per_capita","lhd_note"
1990,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,182230,136,74.6309608736212,4881663,11442356.6731634,26.7884706140592,62.7907406747703,
1991,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,184583,142,76.930161499163,4915355,11114318.6909505,26.6295108433604,60.2131219611258,
1992,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,187450,130,69.3518271539077,5324710,11643015.5346366,28.4060282742065,62.1126462237213,
1993,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,190787,135,70.7595381236667,6141812,13103411.8022295,32.1919837305477,68.6808419977753,
1994,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,194180,149,76.7329282109383,6478219,13473816.070838,33.3619270779689,69.3882792812751,
1995,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,197503,164,83.0367133663792,7657171,15512264.3395052,38.769897166119,78.5419175379878,
1996,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,201317,144,71.5289816557966,6670584,13210226.0997989,33.1347278173229,65.6190291917667,
1997,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,205414,159,77.4046559630794,7895764,15296308.4859511,38.4382953450106,74.4657544566151,
1998,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,208156,162,77.8262457003401,8177595,15539453.655616,39.285896154807,74.6529221142606,
1999,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,213346,158,74.0581028001462,8688088,15886427.035551,40.7229945721973,74.4632054763204,
2000,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,219239,172,78.4531949151383,9012011,15724070.3194209,41.1058753232773,71.7211368388876,
2001,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,221643,175,78.9557982882383,10155349,17135338.8056414,45.818496410895,77.3105345336482,
2002,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,224556,200,89.064643117975,10862476,17925769.3176538,48.3731274158784,79.8276123445991,
2003,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,226976,207,91.1990695051459,11818231,18898015.6831645,52.06819663753,83.2599732269688,
2004,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,229846,209,90.9304490832993,12091851,18484076.1773674,52.6084900324565,80.4193946266951,
2005,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,233859,227,97.0670361200552,13524267,19572634.370536,57.8308596205406,83.6941677272886,
2006,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,238704,229,95.9347141229305,14833981,20439056.8780511,62.1438308532743,85.6251125999192,
2007,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,242215,221,91.2412526061557,14798302,19345103.083113,61.0957290010941,79.8674858415582,
2008,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,244664,215,87.8756171729392,14890014,18534414.0211327,60.8590311611026,75.7545614439913,
2009,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,246489,228,92.4990567530397,15758890,19724635.3498175,63.9334412488995,80.0223756427974,
2010,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,247669,250,100.941175520554,17119154,20833979.1341199,69.1211011470955,84.1202537827501,
2011,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,247151,233,94.2743504982784,15750057,18565726.752719,63.7264546775048,75.1189627099181,
2012,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,246893,199,80.6017181532081,12971417,14944628.95404,52.5386179438056,60.5307925054173,
2013,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,248526,188,75.6460088682874,11977942,13361890.1587351,48.1959312104166,53.7645564598275,
2014,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,251760,203,80.6323482681919,13592456,14823361.6420275,53.9897362567525,58.8789388386858,
2015,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,255631,217,84.887983069346,14267266,15554569.5883873,55.8119555140026,60.8477437728102,
2016,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,257478,242,93.9886126193306,16537947,17999980.6314735,64.2305245496703,69.9088101953314,
2017,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,259349,227,87.5268460645694,15796084,16737622.4794033,60.9066701625994,64.5370619489695,
2018,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,263753,231,87.5819421959181,16740184,17102384.2709893,63.4691700189192,64.8424255685784,
2019,"FL","FL002","Florida Department of Health in Alachua County","single county","12001","Alachua County",,1,,266649,236,88.5058635134578,16792288,16792288,62.9752521104523,62.9752521104523,
1990,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,18637,15,80.4850566078231,687505,1611474.90610949,36.8892525621076,86.4664326935395,
1991,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,19231,16,83.1990016119807,658947,1489973.14709634,34.2648328220061,77.4776739169229,
1992,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,19411,15,77.2757714697852,784998,1716477.31212754,40.4408840348256,88.4280723366925,
1993,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,19562,14,71.5673244044576,707583,1509611.72912114,36.1713015029138,77.1706231019908,
1994,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,19722,15,76.057195010648,733517,1525615.78156479,37.1928303417503,77.3560380065303,
1995,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,20284,19,93.6698875961349,993419,2012515.86622356,48.9754979294025,99.2169131445257,
1996,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,20616,19,92.1614280170741,1066924,2112904.54798288,51.7522312766783,102.488579160986,
1997,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,20801,20,96.1492235950195,1142736,2213800.00390106,54.9365895870391,106.427575784869,
1998,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,20782,22,105.860841112501,1240352,2356975.66590797,59.683957270715,113.414284761234,
1999,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,21498,24,111.638291934133,1432142,2618714.19667344,66.6174527863057,121.811991658454,
2000,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,22388,29,129.533678756477,1662620,2900923.42258299,74.263891370377,129.574925075174,
2001,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,22706,31,136.527790011451,2034730,3433243.69531788,89.611996829032,151.204249771773,
2002,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,23231,40,172.183720029271,2398890,3958761.221514,103.262451035255,170.408558456976,
2003,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,23625,49,207.407407407407,2780350,4445935.93615545,117.686772486772,188.187764493352,
2004,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,24170,49,202.730657840298,2898592,4430901.0535366,119.925196524617,183.322343960968,
2005,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,24826,46,185.289615725449,2901053,4198471.50744263,116.855433819383,169.115907010498,
2006,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,25521,46,180.243720857333,3286525,4528350.91309184,128.777281454488,177.436264765951,
2007,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,26189,49,187.101454809271,3874722,5065236.30267891,147.952270037038,193.410832894685,
2008,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,26720,55,205.838323353293,4224372,5258306.64949545,158.097754491018,196.792913529021,
2009,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,27077,53,195.738080289545,3752560,4696896.64870502,138.58846991912,173.46444025206,
2010,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,27070,57,210.565201329885,4069126,4952118.9059988,150.318655338013,182.937528851082,
2011,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,26915,65,241.501021735092,4520095,5328161.58483308,167.939624744566,197.962533339516,
2012,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,26926,61,226.546832058234,4239103,4883955.34836,157.435304166976,181.384362636857,
2013,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,26895,52,193.344487823015,3806202,4245975.89852729,141.520803123257,157.872314501851,
2014,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,27012,52,192.507033910854,4034044,4399358.95998864,149.342662520361,162.866835480107,
2015,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,27003,48,177.758026885902,3790098,4132070.08881781,140.358404621709,153.022630404689,
2016,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,26967,45,166.870619646234,3478732,3786268.55087196,128.999592094041,140.403773162456,
2017,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,27066,48,177.34426956329,3485392,3693141.63489713,128.773812162861,136.449480340543,
2018,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,27488,46,167.345750873108,3396000,3469477.81364168,123.544819557625,126.217906491621,
2019,"FL","FL003","Florida Department of Health in Baker County","single county","12003","Baker County",,1,,28089,36,128.164049983979,3031797,3031797,107.935383958133,107.935383958133,
1990,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,127339,103,80.8864526971313,3101738,7270307.7829634,24.3581149529995,57.094117143714,
1991,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,128883,95,73.7102643482849,2984289,6747903.05316664,23.1550243243872,52.3568124047907,
1992,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,131371,98,74.5978945124875,3297554,7210434.45526665,25.1010801470644,54.8860437635905,
1993,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,133529,104,77.8857027312419,3759458,8020715.43824303,28.1546180979413,60.0672171456615,
1994,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,135638,111,81.8354738347661,3931588,8177169.30815612,28.9858889101874,60.286713960366,
1995,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,137308,119,86.6664724560841,4450066,9015157.18014454,32.4093716316602,65.6564597848963,
1996,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,138872,127,91.4511204562475,4849434,9603674.82008354,34.9201710928049,69.1548679365426,
1997,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,141889,131,92.3256912093256,4850517,9396811.2963293,34.1852927288232,66.2264960379543,
1998,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,144693,118,81.5519755620521,4668895,8872055.59524988,32.2675941476091,61.3164119566937,
1999,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,147075,120,81.5910249872514,4905883,8970552.82180041,33.3563352031277,60.993049952748,
